product_id,category,product_name,supplier,price
1,Clothing,Virtual tangible structure,"Johnston, Martin and Perkins",267.94
2,Toys,Extended interactive toolset,Rose Group,338.93
3,Furniture,Ameliorated uniform service-desk,Mcintyre and Sons,252.43
4,Toys,Seamless homogeneous system engine,"Baird, Delacruz and Wood",296.38
5,Books,Exclusive 3rdgeneration monitoring,Hunt-Becker,313.63
6,Toys,Streamlined composite knowledgebase,Johnson PLC,121.22
7,Books,Persistent reciprocal attitude,Washington PLC,437.69
8,Toys,Reduced actuating open architecture,Watson and Sons,426.31
9,Furniture,Ergonomic multi-tasking middleware,Evans and Sons,442.07
10,Electronics,User-friendly next generation productivity,"Lawson, Hubbard and Sanchez",291.41
11,Books,Integrated transitional workforce,Morales PLC,320.55
12,Furniture,Total local workforce,Mcmahon-Garcia,305.31
13,Furniture,Exclusive uniform ability,"Watson, Tucker and Olson",317.09
14,Furniture,Streamlined human-resource methodology,Mendez Inc,312.69
15,Toys,Function-based clear-thinking orchestration,"Johnson, Flowers and Kelly",425.66
16,Clothing,Open-source dedicated leverage,"Moore, Davis and Warren",248.6
17,Toys,Balanced exuding hierarchy,Sanchez Group,41.83
18,Furniture,Advanced 24/7 database,Wise-Gallagher,145.35
19,Clothing,Seamless stable installation,"Mack, Jackson and Skinner",281.87
20,Electronics,Implemented client-server initiative,"Conner, Mitchell and Lewis",155.94
21,Toys,Reduced systematic definition,Young-Hughes,333.7
22,Toys,Switchable global conglomeration,Merritt-Stewart,463.21
23,Toys,Persistent eco-centric info-mediaries,Graves LLC,315.09
24,Electronics,Reactive multimedia migration,Snyder and Sons,45.71
25,Electronics,Versatile fresh-thinking matrix,Madden-Wilson,204.9
26,Toys,User-centric value-added service-desk,Ramirez LLC,350.83
27,Furniture,Re-contextualized zero-defect attitude,Young LLC,167.69
28,Clothing,User-friendly contextually-based intranet,"Anderson, Hill and Montgomery",295.7
29,Toys,Team-oriented static infrastructure,Gonzalez-Johnson,193.0
30,Books,Customer-focused global Internet solution,Mccarthy Ltd,380.18
31,Toys,Face-to-face leadingedge info-mediaries,Mclean-Stewart,499.67
32,Clothing,Synergistic client-server product,"Wilson, Thompson and Jones",339.69
33,Clothing,Cross-group zero tolerance standardization,Robinson PLC,385.02
34,Toys,Managed bottom-line infrastructure,Owens-Rivas,59.84
35,Books,Stand-alone client-server concept,"Owens, Wade and Williams",185.64
36,Clothing,Optional clear-thinking protocol,"Doyle, Cook and Hall",325.23
37,Electronics,Digitized 24hour approach,Weaver and Sons,307.32
38,Books,Open-source discrete interface,Galloway and Sons,455.18
39,Books,Universal exuding alliance,Freeman Ltd,432.49
40,Toys,Profound coherent analyzer,"Summers, Stanley and Poole",323.55
41,Clothing,Distributed real-time process improvement,Decker Group,136.56
42,Electronics,User-centric radical hierarchy,Roth Inc,341.9
43,Furniture,Customer-focused intermediate circuit,Sanchez and Sons,280.96
44,Clothing,Fully-configurable zero tolerance pricing structure,Garcia-Guzman,213.01
45,Clothing,Balanced global initiative,Hill-Huber,348.0
46,Electronics,Up-sized intermediate circuit,Patrick Inc,434.63
47,Electronics,User-friendly solution-oriented function,"Becker, Brown and Bowers",270.39
48,Electronics,Persevering real-time concept,Williams PLC,248.52
49,Toys,Business-focused homogeneous matrices,Alvarez-Le,333.86
50,Furniture,Reactive analyzing analyzer,Saunders-Nelson,445.36
51,Furniture,Digitized optimizing toolset,Ortiz LLC,481.77
52,Toys,Innovative methodical capability,"Ellis, Cervantes and Mueller",182.29
53,Toys,Re-contextualized disintermediate intranet,Carroll Group,327.08
54,Furniture,Reverse-engineered composite leverage,Washington Group,214.78
55,Electronics,Diverse secondary architecture,Kaiser Inc,385.49
56,Toys,Cross-platform leadingedge budgetary management,"Scott, Acosta and Tran",298.21
57,Books,Quality-focused heuristic forecast,"Spencer, Jones and Mcdonald",69.63
58,Toys,Polarized modular circuit,Velasquez-Chambers,288.44
59,Toys,Intuitive optimizing hardware,Nelson LLC,139.98
60,Clothing,Horizontal upward-trending implementation,"Ellis, Adams and Alvarez",41.87
61,Books,Monitored analyzing forecast,Hall-Rose,228.22
62,Toys,Versatile maximized collaboration,Peters and Sons,299.07
63,Books,Open-source homogeneous monitoring,Graves-Klein,431.62
64,Electronics,Innovative methodical firmware,"Cole, Wallace and Boyd",414.21
65,Books,Team-oriented incremental customer loyalty,Gonzales Group,14.71
66,Toys,Progressive foreground orchestration,Smith and Sons,135.36
67,Toys,Centralized well-modulated installation,Harris and Sons,432.4
68,Clothing,Intuitive bandwidth-monitored secured line,Baker and Sons,149.11
69,Furniture,Ergonomic neutral implementation,Villarreal-Rodriguez,480.63
70,Electronics,Customizable 5thgeneration moderator,"Alvarado, Dominguez and Beck",259.03
71,Clothing,Synchronized clear-thinking customer loyalty,Lee-Turner,96.3
72,Clothing,Down-sized disintermediate utilization,Le LLC,411.52
73,Clothing,Fundamental even-keeled throughput,Green and Sons,410.91
74,Furniture,Streamlined logistical knowledge user,Roberts and Sons,153.58
75,Books,Multi-lateral multi-state Local Area Network,"Johnson, Harris and Osborne",423.63
76,Clothing,Re-contextualized tertiary focus group,"Riddle, Holt and Mosley",28.35
77,Toys,Quality-focused contextually-based encoding,"Campbell, Chavez and Castillo",362.95
78,Furniture,Optimized multi-tasking Internet solution,"Vega, Neal and Holmes",125.56
79,Toys,Diverse regional migration,"Cortez, Mccall and Jenkins",476.22
80,Electronics,Realigned high-level firmware,Terry-Christian,449.63
81,Books,Optional optimal benchmark,Taylor-White,448.95
82,Electronics,Switchable multimedia service-desk,Case Inc,43.18
83,Furniture,Multi-lateral national Internet solution,West-Roach,73.88
84,Clothing,Grass-roots bi-directional support,"Murray, Mcfarland and Watts",111.47
85,Books,Diverse multimedia flexibility,Wilson and Sons,352.4
86,Books,Diverse 4thgeneration website,Rogers Group,267.65
87,Electronics,Multi-channeled solution-oriented data-warehouse,"Burton, Kim and Kennedy",110.03
88,Furniture,Profound upward-trending knowledgebase,"Sims, Hampton and Simpson",376.39
89,Clothing,Fundamental modular monitoring,Allen PLC,40.76
90,Toys,Focused fault-tolerant paradigm,Wright and Sons,218.03
91,Electronics,Persistent homogeneous focus group,Taylor LLC,423.9
92,Books,Exclusive impactful intranet,Wells Inc,102.6
93,Books,Realigned multi-tasking access,"Anderson, Jackson and Powell",84.13
94,Electronics,User-friendly client-driven superstructure,Benson Inc,370.99
95,Books,Ergonomic responsive core,"Herrera, Yu and Lane",69.28
96,Clothing,Re-engineered actuating complexity,Blake LLC,42.78
97,Electronics,Monitored real-time hierarchy,"Reese, Mercer and Lawrence",323.85
98,Furniture,Customer-focused dedicated flexibility,"Lucas, Davis and Gonzalez",213.75
99,Books,User-friendly methodical hierarchy,Everett-Nichols,350.23
100,Books,Object-based grid-enabled workforce,"Jackson, Williams and Bullock",93.81
101,Clothing,Persistent content-based challenge,Williams and Sons,67.89
102,Clothing,Customer-focused zero administration standardization,Perry and Sons,305.55
103,Books,Optional multi-tasking solution,Williams PLC,164.81
104,Electronics,Organic even-keeled service-desk,Christian Group,248.27
105,Electronics,Business-focused executive infrastructure,"Gay, Bruce and Johnson",114.35
106,Toys,Stand-alone directional functionalities,"Vargas, Gilbert and Cunningham",145.35
107,Electronics,Managed contextually-based architecture,"Tucker, Park and Kirk",326.36
108,Clothing,Phased asynchronous analyzer,Williams LLC,113.73
109,Clothing,Exclusive composite framework,Ramirez Ltd,341.46
110,Books,Programmable context-sensitive productivity,Odom-Stevens,434.15
111,Clothing,Balanced empowering framework,"Carter, Landry and Huber",416.89
112,Clothing,Fully-configurable dedicated projection,Galvan-Williams,375.94
113,Clothing,Managed 24hour info-mediaries,Woodard LLC,436.97
114,Electronics,Sharable context-sensitive Graphical User Interface,Watson-Wyatt,143.83
115,Furniture,Enterprise-wide attitude-oriented portal,Peterson-Brown,473.94
116,Toys,Total empowering collaboration,"Wiley, Moore and Clark",418.84
117,Furniture,Advanced bifurcated alliance,Moreno PLC,470.76
118,Electronics,Synergized global projection,Brown and Sons,469.61
119,Toys,Persistent clear-thinking function,Brown Inc,431.21
120,Clothing,Balanced eco-centric success,"Carroll, Smith and Thomas",382.55
121,Electronics,Multi-layered solution-oriented artificial intelligence,Gomez Group,390.13
122,Clothing,Sharable 6thgeneration emulation,"Adams, Barber and Lee",112.89
123,Clothing,Up-sized hybrid complexity,Fleming-Johnson,89.66
124,Electronics,Multi-channeled stable approach,"Smith, Ochoa and Brown",352.02
125,Clothing,Proactive bottom-line capacity,Gould-Crane,126.59
126,Furniture,Multi-lateral global standardization,"Blackwell, Winters and Bishop",186.58
127,Books,Synergized 24/7 extranet,Silva-Alvarado,358.02
128,Toys,Open-architected discrete parallelism,"Anthony, Lewis and Martin",243.9
129,Books,Progressive value-added productivity,Martinez PLC,152.74
130,Clothing,Reduced didactic implementation,"Becker, Taylor and Wilkins",8.2
131,Furniture,Stand-alone 6thgeneration task-force,Coleman-Jones,71.46
132,Books,Adaptive user-facing system engine,Valdez-Butler,344.41
133,Toys,Public-key fresh-thinking definition,Thompson Inc,336.96
134,Clothing,Adaptive discrete attitude,Lane Group,98.55
135,Clothing,Total asynchronous installation,Bentley Inc,386.29
136,Books,Virtual motivating Graphic Interface,"Stevenson, Sanders and Mack",317.61
137,Books,Fundamental analyzing Graphical User Interface,Smith PLC,241.31
138,Furniture,Open-architected dedicated time-frame,Kelly-Foley,29.15
139,Clothing,Configurable didactic policy,Gonzalez-Young,113.89
140,Clothing,Re-engineered radical functionalities,Rivers Group,133.09
141,Furniture,Pre-emptive composite structure,"Black, Smith and Mcdonald",39.23
142,Furniture,De-engineered multi-tasking throughput,Ward Ltd,96.98
143,Furniture,Open-architected local monitoring,"Pittman, Garner and Chen",247.3
144,Electronics,Re-engineered secondary array,Smith LLC,383.59
145,Clothing,Exclusive upward-trending attitude,Perez-Oconnor,51.92
146,Toys,Fundamental empowering system engine,Mercado-Townsend,167.47
147,Electronics,Cross-group non-volatile projection,"Barnett, Scott and Lopez",179.13
148,Furniture,Mandatory asymmetric model,Castillo-Clark,186.47
149,Clothing,Centralized systemic utilization,Graham and Sons,318.26
150,Furniture,Organic stable projection,"Scott, Kim and Obrien",457.22
